group,signal,left_deg,right_deg,rows,flight_weight
KRDU/train,raw,0,2,1373,5.290171616262362
KRDU/train,raw,2,4,1130,4.162702657682181
KRDU/train,raw,4,6,1670,6.214878245237163
KRDU/train,raw,6,8,9542,32.06210101866814
KRDU/train,raw,8,10,2555,9.77501691952719
KRDU/train,raw,10,12,2023,7.649216099737849
KRDU/train,raw,12,14,1880,7.072415651051571
KRDU/train,raw,14,16,2025,7.801315507952523
KRDU/train,raw,16,18,2767,11.185984209923888
KRDU/train,raw,18,20,3189,12.727283518373966
KRDU/train,raw,20,22,2887,12.216205431647722
KRDU/train,raw,22,24,2223,8.566612059306763
KRDU/train,raw,24,26,2086,8.076761341747272
KRDU/train,raw,26,28,2266,8.756045299669722
KRDU/train,raw,28,30,2434,9.778621940993503
KRDU/train,raw,30,32,2154,8.223578296358653
KRDU/train,raw,32,34,2259,8.882989351455251
KRDU/train,raw,34,36,10554,38.29216250347869
KRDU/train,raw,36,38,21321,71.81921241735247
KRDU/train,raw,38,40,3931,14.774627231414172
KRDU/train,raw,40,42,6163,23.758378645359983
KRDU/train,raw,42,44,18717,77.1783849348148
KRDU/train,raw,44,46,254452,1305.6226173819823
KRDU/train,raw,46,48,11233,43.74174006082512
KRDU/train,raw,48,50,4537,16.41868671513248
KRDU/train,raw,50,52,3565,12.492507775118838
KRDU/train,raw,52,54,2863,9.908978164673726
KRDU/train,raw,54,56,2403,8.2918386717879
KRDU/train,raw,56,58,2692,9.402522535292746
KRDU/train,raw,58,60,2348,8.049422376752318
KRDU/train,raw,60,62,1956,6.731851440458058
KRDU/train,raw,62,64,1959,6.654989529661634
KRDU/train,raw,64,66,2324,7.902889773857396
KRDU/train,raw,66,68,2232,7.636931757068851
KRDU/train,raw,68,70,2140,7.352057120980817
KRDU/train,raw,70,72,2520,8.664172749344289
KRDU/train,raw,72,74,3172,10.77411086768484
KRDU/train,raw,74,76,34912,114.56664454963402
KRDU/train,raw,76,78,7953,26.67475808927884
KRDU/train,raw,78,80,1827,7.321795073651856
KRDU/train,raw,80,82,1060,3.9961481457717127
KRDU/train,raw,82,84,774,2.7856846846002554
KRDU/train,raw,84,86,870,3.272560740258541
KRDU/train,raw,86,88,770,2.951783775546346
KRDU/train,raw,88,90,714,2.6781636375808375
KRDU/train,raw,90,92,660,2.4522303276141884
KRDU/train,raw,92,94,692,2.6150195960713063
KRDU/train,raw,94,96,982,3.6718437847971472
KRDU/train,raw,96,98,963,3.7083810942879154
KRDU/train,raw,98,100,801,3.1314961742702963
KRDU/train,raw,100,102,672,2.5722599767143492
KRDU/train,raw,102,104,648,2.3983384706496054
KRDU/train,raw,104,106,662,2.553360837029686
KRDU/train,raw,106,108,601,2.258015670430268
KRDU/train,raw,108,110,600,2.210771390314676
KRDU/train,raw,110,112,517,1.9681758621923109
KRDU/train,raw,112,114,520,1.9127895024676036
KRDU/train,raw,114,116,668,2.647200778782917
KRDU/train,raw,116,118,909,4.042598458337125
KRDU/train,raw,118,120,1094,4.715446514839641
KRDU/train,raw,120,122,665,2.5955368896952677
KRDU/train,raw,122,124,620,2.356521692951901
KRDU/train,raw,124,126,752,3.1202807906297494
KRDU/train,raw,126,128,1076,4.693738101481358
KRDU/train,raw,128,130,1019,4.555706887528231
KRDU/train,raw,130,132,1128,4.769734588608117
KRDU/train,raw,132,134,1147,4.318148333632962
KRDU/train,raw,134,136,2273,9.157675599191407
KRDU/train,raw,136,138,2524,9.34110137020707
KRDU/train,raw,138,140,2688,10.100498363645329
KRDU/train,raw,140,142,2453,8.457145986689738
KRDU/train,raw,142,144,1591,5.6124830689245755
KRDU/train,raw,144,146,1075,3.7849941941631187
KRDU/train,raw,146,148,1669,5.84143809403713
KRDU/train,raw,148,150,1428,5.125663796911795
KRDU/train,raw,150,152,746,2.869127366812336
KRDU/train,raw,152,154,745,2.7750673920727422
KRDU/train,raw,154,156,739,2.6982162293293186
KRDU/train,raw,156,158,720,2.8171279077582767
KRDU/train,raw,158,160,686,2.570721460660934
KRDU/train,raw,160,162,755,3.029903454212217
KRDU/train,raw,162,164,606,2.403107087113767
KRDU/train,raw,164,166,651,2.496881167927768
KRDU/train,raw,166,168,572,2.1650154372355246
KRDU/train,raw,168,170,685,2.6101646341821834
KRDU/train,raw,170,172,675,2.6704099957942162
KRDU/train,raw,172,174,665,2.571039924238903
KRDU/train,raw,174,176,794,3.074943895060187
KRDU/train,raw,176,178,755,2.971226841062162
KRDU/train,raw,178,180,978,4.006342867423427
KRDU/train,raw,180,182,918,3.579159499074194
KRDU/train,raw,182,184,667,2.5602657647318665
KRDU/train,raw,184,186,765,2.9817689025830987
KRDU/train,raw,186,188,953,3.857754194786594
KRDU/train,raw,188,190,1122,4.283645700265424
KRDU/train,raw,190,192,1297,5.417741235426092
KRDU/train,raw,192,194,1028,4.159573404963339
KRDU/train,raw,194,196,1258,5.3560875529533405
KRDU/train,raw,196,198,1958,9.40519050339526
KRDU/train,raw,198,200,2211,9.93543081229518
KRDU/train,raw,200,202,1385,6.273288052908356
KRDU/train,raw,202,204,1135,4.940601861802861
KRDU/train,raw,204,206,2331,12.93116603171029
KRDU/train,raw,206,208,3535,22.17360388474026
KRDU/train,raw,208,210,2249,12.335547341803249
KRDU/train,raw,210,212,1904,10.254860533657848
KRDU/train,raw,212,214,1609,7.970720570801859
KRDU/train,raw,214,216,1684,8.593917645439888
KRDU/train,raw,216,218,2196,11.293945495765456
KRDU/train,raw,218,220,3279,15.799357009643245
KRDU/train,raw,220,222,5565,28.589903240643707
KRDU/train,raw,222,224,47257,221.28027885024085
KRDU/train,raw,224,226,506234,3021.9401303936284
KRDU/train,raw,226,228,19348,100.61772117496184
KRDU/train,raw,228,230,9634,45.36440047671567
KRDU/train,raw,230,232,29930,105.42924662269616
KRDU/train,raw,232,234,4580,22.481568916984543
KRDU/train,raw,234,236,3702,18.58137051149697
KRDU/train,raw,236,238,3264,16.331562817631493
KRDU/train,raw,238,240,3045,15.38466348307793
KRDU/train,raw,240,242,3033,14.844452860353158
KRDU/train,raw,242,244,2841,14.008418284128311
KRDU/train,raw,244,246,2961,14.749877517112509
KRDU/train,raw,246,248,3334,17.027792164019047
KRDU/train,raw,248,250,4435,23.721385322317474
KRDU/train,raw,250,252,4302,23.631637499018325
KRDU/train,raw,252,254,3878,20.72791699580648
KRDU/train,raw,254,256,4954,28.811218756880407
KRDU/train,raw,256,258,4476,24.043036968506385
KRDU/train,raw,258,260,5223,28.007378130832876
KRDU/train,raw,260,262,5560,30.329108750084742
KRDU/train,raw,262,264,4191,21.67410827599997
KRDU/train,raw,264,266,3544,17.890204163453745
KRDU/train,raw,266,268,2953,14.469380304472907
KRDU/train,raw,268,270,3191,15.678472301269721
KRDU/train,raw,270,272,2996,14.809581663742392
KRDU/train,raw,272,274,3299,15.919951273594052
KRDU/train,raw,274,276,17783,66.049116458149
KRDU/train,raw,276,278,4336,18.973171933474987
KRDU/train,raw,278,280,4558,22.72148480798205
KRDU/train,raw,280,282,6030,30.68443203280549
KRDU/train,raw,282,284,12193,50.06625825654646
KRDU/train,raw,284,286,2723,15.043436250993182
KRDU/train,raw,286,288,2296,12.376636114656321
KRDU/train,raw,288,290,2979,17.10527667920269
KRDU/train,raw,290,292,3916,23.183475123069
KRDU/train,raw,292,294,3323,18.74520273445978
KRDU/train,raw,294,296,3307,18.70455759534707
KRDU/train,raw,296,298,3252,18.29619014632317
KRDU/train,raw,298,300,3202,18.0932813281579
KRDU/train,raw,300,302,2213,11.45073936478093
KRDU/train,raw,302,304,1769,8.379964292539626
KRDU/train,raw,304,306,1379,5.724129216156143
KRDU/train,raw,306,308,1276,4.994882808289731
KRDU/train,raw,308,310,1410,5.4595371589430215
KRDU/train,raw,310,312,1547,5.9547285776307035
KRDU/train,raw,312,314,2145,8.233289135822815
KRDU/train,raw,314,316,3107,11.380727208428652
KRDU/train,raw,316,318,3961,14.48699450989443
KRDU/train,raw,318,320,4558,16.952187675114146
KRDU/train,raw,320,322,5187,20.019724505928934
KRDU/train,raw,322,324,3730,13.337779866267738
KRDU/train,raw,324,326,2220,7.711266442790475
KRDU/train,raw,326,328,1573,5.5154282370685905
KRDU/train,raw,328,330,1335,4.799666404552227
KRDU/train,raw,330,332,1241,4.423727515614701
KRDU/train,raw,332,334,1132,4.0899417213713605
KRDU/train,raw,334,336,1027,3.8109386856667697
KRDU/train,raw,336,338,1135,4.489323253754264
KRDU/train,raw,338,340,1106,4.185889502686223
KRDU/train,raw,340,342,1095,4.0434218924046945
KRDU/train,raw,342,344,1021,3.758466559252156
KRDU/train,raw,344,346,1117,4.2521340793027775
KRDU/train,raw,346,348,1139,4.1864575340187
KRDU/train,raw,348,350,1129,4.1538686840222
KRDU/train,raw,350,352,1114,4.239124149647978
KRDU/train,raw,352,354,1132,4.016952343049525
KRDU/train,raw,354,356,1082,4.023668513304983
KRDU/train,raw,356,358,1122,4.135971783967761
KRDU/train,raw,358,360,1212,4.722742825517344
KRDU/train,smoothed,0,2,1356,5.160497027724833
KRDU/train,smoothed,2,4,1155,4.326157820770209
KRDU/train,smoothed,4,6,1668,6.2059122671767
KRDU/train,smoothed,6,8,9448,31.74833044252017
KRDU/train,smoothed,8,10,2609,10.001724350721226
