flight_id,split,retained_in_distribution,rows
KRDU:2938_23R_a45ba2_20260703T042556Z,train,True,286
KRDU:AAL1052_23R_a77b76_20260706T173332Z,train,True,135
KRDU:AAL118_23R_a01880_20260721T195444Z,train,True,307
KRDU:AAL1203_23R_a3fcd6_20260705T032553Z,train,True,135
KRDU:AAL1218_23R_a560f4_20260514T010832Z,train,True,139
KRDU:AAL1273_05L_a01567_20260508T065825Z,val,True,161
KRDU:AAL1273_05L_aa02ab_20260503T033337Z,val,True,310
KRDU:AAL1273_05L_aa2abc_20260515T032817Z,train,True,330
KRDU:AAL1273_05L_aa4e80_20260512T032509Z,train,True,333
KRDU:AAL1273_05R_aa0701_20260501T045706Z,train,True,287
KRDU:AAL1273_23L_aa435b_20260511T034504Z,train,True,158
KRDU:AAL1273_23R_a01567_20260509T031514Z,train,True,150
KRDU:AAL1273_23R_a0191e_20260516T025217Z,train,True,149
KRDU:AAL1273_23R_a03574_20260507T032921Z,train,True,158
KRDU:AAL1273_23R_a88ccf_20260505T031009Z,train,True,167
KRDU:AAL1273_23R_a95665_20260514T032806Z,train,True,149
KRDU:AAL1273_23R_a9819b_20260518T025846Z,train,True,126
KRDU:AAL1273_23R_a98909_20260510T032042Z,train,True,160
KRDU:AAL1273_23R_a9e6df_20260519T030756Z,train,True,152
KRDU:AAL1273_23R_aa1219_20260506T033240Z,train,True,150
KRDU:AAL1273_23R_aaf0ce_20260502T031555Z,train,True,149
KRDU:AAL1273_23R_ab473a_20260517T044644Z,train,True,148
KRDU:AAL1273_23R_ab6eb9_20260504T031314Z,train,True,155
KRDU:AAL1286_05L_a3a9af_20260531T034449Z,train,True,210
KRDU:AAL1286_05L_a3ca1a_20260630T035206Z,train,True,252
KRDU:AAL1286_05L_ab0a95_20260529T034705Z,train,True,235
KRDU:AAL1286_05L_ab20df_20260522T035442Z,train,True,190
KRDU:AAL1286_05L_aca1dd_20260524T034819Z,train,True,243
KRDU:AAL1286_05L_aca594_20260707T041515Z,train,True,115
KRDU:AAL1286_05L_acdfa6_20260629T052254Z,train,True,139
KRDU:AAL1286_05L_ad35e0_20260714T035625Z,train,True,216
KRDU:AAL1286_05L_adbb39_20260709T033816Z,train,True,323
KRDU:AAL1286_23L_abc649_20260712T034528Z,train,True,196
KRDU:AAL1286_23L_ac72f0_20260716T034254Z,train,True,147
KRDU:AAL1286_23L_acd964_20260704T062000Z,train,True,198
KRDU:AAL1286_23L_ace0d2_20260708T034905Z,train,True,149
KRDU:AAL1286_23L_ad4105_20260717T044029Z,train,True,229
KRDU:AAL1286_23R_a362a9_20260703T043959Z,train,True,223
KRDU:AAL1286_23R_aaea84_20260710T033624Z,train,True,123
KRDU:AAL1286_23R_ab4c15_20260720T035842Z,val,True,160
KRDU:AAL1286_23R_ab8c37_20260705T034138Z,val,True,153
KRDU:AAL1286_23R_abb76d_20260702T054621Z,val,True,325
KRDU:AAL1286_23R_abedc8_20260527T033432Z,train,True,169
KRDU:AAL1286_23R_ac51b2_20260628T032928Z,train,True,226
KRDU:AAL1286_23R_ac72f0_20260721T041601Z,train,True,351
KRDU:AAL1286_23R_ac82f8_20260525T043603Z,train,True,185
KRDU:AAL1286_23R_acf0db_20260711T071749Z,val,True,294
KRDU:AAL1286_23R_ad1218_20260719T033622Z,val,True,267
KRDU:AAL1286_23R_ad3d4e_20260528T034433Z,train,True,178
KRDU:AAL1286_23R_ad79eb_20260530T041352Z,train,True,219
KRDU:AAL1286_23R_ad7da2_20260526T033030Z,val,True,152
KRDU:AAL1286_23R_addb4a_20260718T043304Z,val,True,139
KRDU:AAL129_05L_ac72f0_20260629T015333Z,val,True,320
KRDU:AAL129_05L_ad9003_20260630T021656Z,train,True,285
KRDU:AAL129_05L_adab31_20260701T022327Z,val,True,249
KRDU:AAL1439_05L_a9e6df_20260530T125157Z,train,True,143
KRDU:AAL1566_05L_a19343_20260701T010141Z,train,True,310
KRDU:AAL1566_05L_ab3982_20260630T011233Z,train,True,185
KRDU:AAL1566_05L_ab64b8_20260512T034828Z,train,True,155
KRDU:AAL1566_05L_ab84c9_20260715T012150Z,train,True,274
KRDU:AAL1566_05L_ac02b4_20260713T010657Z,val,True,140
KRDU:AAL1566_05L_ac22c5_20260515T033633Z,train,True,146
KRDU:AAL1566_05L_ac2dea_20260508T033620Z,val,True,133
KRDU:AAL1566_05L_aced24_20260522T012342Z,train,True,299
KRDU:AAL1566_05L_ad34b4_20260523T011307Z,val,True,311
KRDU:AAL1566_05L_ad35e0_20260525T010810Z,val,True,131
KRDU:AAL1566_05L_ad4390_20260524T013222Z,train,True,132
KRDU:AAL1566_05L_ad4c2a_20260720T010628Z,train,True,181
KRDU:AAL1566_05L_ad526c_20260629T011046Z,train,True,136
KRDU:AAL1566_05L_ad9edf_20260529T011630Z,train,True,321
KRDU:AAL1566_05L_adac5d_20260503T061207Z,train,True,147
KRDU:AAL1566_05R_ab00ce_20260707T013230Z,val,True,112
KRDU:AAL1566_05R_ac91d4_20260531T011654Z,train,False,211
KRDU:AAL1566_05R_acbf63_20260501T040222Z,train,True,302
KRDU:AAL1566_23L_ac9e26_20260526T013050Z,train,True,155
KRDU:AAL1566_23R_a35aae_20260504T061856Z,train,True,141
KRDU:AAL1566_23R_a35e66_20260519T035335Z,train,True,262
KRDU:AAL1566_23R_a362b2_20260518T034321Z,train,True,139
KRDU:AAL1566_23R_a3b88e_20260719T012247Z,train,True,210
KRDU:AAL1566_23R_a3e07a_20260521T051012Z,train,True,252
KRDU:AAL1566_23R_ab3214_20260706T005410Z,train,True,211
KRDU:AAL1566_23R_ab35cb_20260506T035302Z,train,True,303
KRDU:AAL1566_23R_ab35cb_20260514T034759Z,val,True,150
KRDU:AAL1566_23R_ab93a5_20260708T014301Z,train,True,276
KRDU:AAL1566_23R_ab9eca_20260628T014013Z,train,True,141
KRDU:AAL1566_23R_abca00_20260711T010657Z,val,True,333
KRDU:AAL1566_23R_ac0a22_20260509T033909Z,train,True,320
KRDU:AAL1566_23R_ac1190_20260516T033700Z,val,True,166
