group,signal,kind,left,right,rows,flight_weight
KRDU/train,raw,heading_deg,-180.0,-178.0,60435,194.72181265822178
KRDU/train,raw,heading_deg,-178.0,-176.0,7950,25.86345828375954
KRDU/train,raw,heading_deg,-176.0,-174.0,22304,71.52256204774591
KRDU/train,raw,heading_deg,-174.0,-172.0,11680,37.579330273495884
KRDU/train,raw,heading_deg,-172.0,-170.0,3249,10.531650741808733
KRDU/train,raw,heading_deg,-170.0,-168.0,2751,9.171221425766078
KRDU/train,raw,heading_deg,-168.0,-166.0,3041,10.22151492121111
KRDU/train,raw,heading_deg,-166.0,-164.0,2429,8.137970481247294
KRDU/train,raw,heading_deg,-164.0,-162.0,2263,7.5778311970641425
KRDU/train,raw,heading_deg,-162.0,-160.0,2475,8.244013331626832
KRDU/train,raw,heading_deg,-160.0,-158.0,2636,8.81488507642996
KRDU/train,raw,heading_deg,-158.0,-156.0,2699,9.181003179990341
KRDU/train,raw,heading_deg,-156.0,-154.0,2682,9.036653152441716
KRDU/train,raw,heading_deg,-154.0,-152.0,3123,10.673383513327622
KRDU/train,raw,heading_deg,-152.0,-150.0,5191,17.266704868057673
KRDU/train,raw,heading_deg,-150.0,-148.0,37450,122.77249533746021
KRDU/train,raw,heading_deg,-148.0,-146.0,3536,12.02439588008292
KRDU/train,raw,heading_deg,-146.0,-144.0,1493,5.462217726373183
KRDU/train,raw,heading_deg,-144.0,-142.0,955,3.3656677627058116
KRDU/train,raw,heading_deg,-142.0,-140.0,1041,3.7079801306698528
KRDU/train,raw,heading_deg,-140.0,-138.0,1275,4.543304862623131
KRDU/train,raw,heading_deg,-138.0,-136.0,1389,5.167995956399295
KRDU/train,raw,heading_deg,-136.0,-134.0,1297,4.640872474670346
KRDU/train,raw,heading_deg,-134.0,-132.0,1450,5.071709421587457
KRDU/train,raw,heading_deg,-132.0,-130.0,3245,11.447875118744264
KRDU/train,raw,heading_deg,-130.0,-128.0,15727,54.54390389354626
KRDU/train,raw,heading_deg,-128.0,-126.0,2715,9.876321275497276
KRDU/train,raw,heading_deg,-126.0,-124.0,2520,9.221579398414974
KRDU/train,raw,heading_deg,-124.0,-122.0,10446,36.529697125311486
KRDU/train,raw,heading_deg,-122.0,-120.0,1032,3.804322774754837
KRDU/train,raw,heading_deg,-120.0,-118.0,772,3.0153913353776716
KRDU/train,raw,heading_deg,-118.0,-116.0,680,2.626850165832593
KRDU/train,raw,heading_deg,-116.0,-114.0,689,2.602832551141887
KRDU/train,raw,heading_deg,-114.0,-112.0,686,2.5567800935546074
KRDU/train,raw,heading_deg,-112.0,-110.0,846,3.124221541738052
KRDU/train,raw,heading_deg,-110.0,-108.0,1052,4.386927257324487
KRDU/train,raw,heading_deg,-108.0,-106.0,1319,5.887708140526456
KRDU/train,raw,heading_deg,-106.0,-104.0,1210,5.156650439755595
KRDU/train,raw,heading_deg,-104.0,-102.0,757,2.8973504759873094
KRDU/train,raw,heading_deg,-102.0,-100.0,913,3.6444386809860134
KRDU/train,raw,heading_deg,-100.0,-98.0,1311,5.592729436382115
KRDU/train,raw,heading_deg,-98.0,-96.0,1288,5.6367057233482
KRDU/train,raw,heading_deg,-96.0,-94.0,1568,6.912175544492015
KRDU/train,raw,heading_deg,-94.0,-92.0,1603,6.204580275193507
KRDU/train,raw,heading_deg,-92.0,-90.0,3118,12.336618782513824
KRDU/train,raw,heading_deg,-90.0,-88.0,3965,15.070019808931988
KRDU/train,raw,heading_deg,-88.0,-86.0,3634,14.17460300773314
KRDU/train,raw,heading_deg,-86.0,-84.0,2666,10.733218063659251
KRDU/train,raw,heading_deg,-84.0,-82.0,1947,7.712380938957267
KRDU/train,raw,heading_deg,-82.0,-80.0,1123,4.513784382774929
KRDU/train,raw,heading_deg,-80.0,-78.0,875,3.4355490732398266
KRDU/train,raw,heading_deg,-78.0,-76.0,793,3.209181192202891
KRDU/train,raw,heading_deg,-76.0,-74.0,695,2.854961029379524
KRDU/train,raw,heading_deg,-74.0,-72.0,747,3.065919352214678
KRDU/train,raw,heading_deg,-72.0,-70.0,753,2.9699135056338264
KRDU/train,raw,heading_deg,-70.0,-68.0,890,3.8805716939472177
KRDU/train,raw,heading_deg,-68.0,-66.0,766,3.2214211391468552
KRDU/train,raw,heading_deg,-66.0,-64.0,736,2.9419329040051707
KRDU/train,raw,heading_deg,-64.0,-62.0,774,3.147942256570218
KRDU/train,raw,heading_deg,-62.0,-60.0,865,3.524073674940496
KRDU/train,raw,heading_deg,-60.0,-58.0,864,3.6801484244986113
KRDU/train,raw,heading_deg,-58.0,-56.0,854,3.4042402659441677
KRDU/train,raw,heading_deg,-56.0,-54.0,928,3.707020054244822
KRDU/train,raw,heading_deg,-54.0,-52.0,828,3.3606655968427503
KRDU/train,raw,heading_deg,-52.0,-50.0,911,3.596152994333579
KRDU/train,raw,heading_deg,-50.0,-48.0,880,3.665835756601723
KRDU/train,raw,heading_deg,-48.0,-46.0,883,3.5869573927094507
KRDU/train,raw,heading_deg,-46.0,-44.0,977,3.9564105780818863
KRDU/train,raw,heading_deg,-44.0,-42.0,933,3.8366503611623557
KRDU/train,raw,heading_deg,-42.0,-40.0,1054,4.416655520511313
KRDU/train,raw,heading_deg,-40.0,-38.0,1216,5.1165892935520105
KRDU/train,raw,heading_deg,-38.0,-36.0,1322,5.660753770604629
KRDU/train,raw,heading_deg,-36.0,-34.0,1384,6.316404767348217
KRDU/train,raw,heading_deg,-34.0,-32.0,1506,6.633507648149475
KRDU/train,raw,heading_deg,-32.0,-30.0,1590,6.985750502826136
KRDU/train,raw,heading_deg,-30.0,-28.0,2554,11.944632354375699
KRDU/train,raw,heading_deg,-28.0,-26.0,3453,16.697281092094727
KRDU/train,raw,heading_deg,-26.0,-24.0,3157,14.843950567142542
KRDU/train,raw,heading_deg,-24.0,-22.0,2374,11.179859685107544
KRDU/train,raw,heading_deg,-22.0,-20.0,2161,10.960746610158594
KRDU/train,raw,heading_deg,-20.0,-18.0,3767,23.1219627211093
KRDU/train,raw,heading_deg,-18.0,-16.0,3101,18.30061721066977
KRDU/train,raw,heading_deg,-16.0,-14.0,2448,13.61529522479259
KRDU/train,raw,heading_deg,-14.0,-12.0,2314,12.177079540455907
KRDU/train,raw,heading_deg,-12.0,-10.0,2364,12.488592538892362
KRDU/train,raw,heading_deg,-10.0,-8.0,2976,16.949565018472413
KRDU/train,raw,heading_deg,-8.0,-6.0,3176,16.587471535301574
KRDU/train,raw,heading_deg,-6.0,-4.0,4414,23.605557590814442
KRDU/train,raw,heading_deg,-4.0,-2.0,11026,61.07047852356368
KRDU/train,raw,heading_deg,-2.0,0.0,379408,2336.3815711464185
KRDU/train,raw,heading_deg,0.0,2.0,310755,1858.1523775760484
