flight_id,split,rows,pairs_2s,pairs_10s,pairs_30s,pairs_60s,pairs_120s
KRDU:2938_23R_a45ba2_20260703T042556Z,train,286,285,281,271,256,226
KRDU:AAL1052_23R_a77b76_20260706T173332Z,train,135,134,130,120,105,75
KRDU:AAL118_23R_a01880_20260721T195444Z,train,307,306,302,292,277,247
KRDU:AAL1203_23R_a3fcd6_20260705T032553Z,train,135,134,130,120,105,75
KRDU:AAL1218_23R_a560f4_20260514T010832Z,train,139,138,134,124,109,79
KRDU:AAL1273_05L_a01567_20260508T065825Z,val,161,160,156,146,131,101
KRDU:AAL1273_05L_aa02ab_20260503T033337Z,val,310,309,305,295,280,250
KRDU:AAL1273_05L_aa2abc_20260515T032817Z,train,330,329,325,315,300,270
KRDU:AAL1273_05L_aa4e80_20260512T032509Z,train,333,332,328,318,303,273
KRDU:AAL1273_05R_aa0701_20260501T045706Z,train,287,286,282,272,257,227
KRDU:AAL1273_23L_aa435b_20260511T034504Z,train,158,157,153,143,128,98
KRDU:AAL1273_23R_a01567_20260509T031514Z,train,150,149,145,135,120,90
KRDU:AAL1273_23R_a0191e_20260516T025217Z,train,149,148,144,134,119,89
KRDU:AAL1273_23R_a03574_20260507T032921Z,train,158,157,153,143,128,98
KRDU:AAL1273_23R_a88ccf_20260505T031009Z,train,167,166,162,152,137,107
KRDU:AAL1273_23R_a95665_20260514T032806Z,train,149,148,144,134,119,89
KRDU:AAL1273_23R_a9819b_20260518T025846Z,train,126,125,121,111,96,66
KRDU:AAL1273_23R_a98909_20260510T032042Z,train,160,159,155,145,130,100
KRDU:AAL1273_23R_a9e6df_20260519T030756Z,train,152,151,147,137,122,92
KRDU:AAL1273_23R_aa1219_20260506T033240Z,train,150,149,145,135,120,90
KRDU:AAL1273_23R_aaf0ce_20260502T031555Z,train,149,148,144,134,119,89
KRDU:AAL1273_23R_ab473a_20260517T044644Z,train,148,147,143,133,118,88
KRDU:AAL1273_23R_ab6eb9_20260504T031314Z,train,155,154,150,140,125,95
KRDU:AAL1286_05L_a3a9af_20260531T034449Z,train,210,209,205,195,180,150
KRDU:AAL1286_05L_a3ca1a_20260630T035206Z,train,252,251,247,237,222,192
KRDU:AAL1286_05L_ab0a95_20260529T034705Z,train,235,234,230,220,205,175
KRDU:AAL1286_05L_ab20df_20260522T035442Z,train,190,189,185,175,160,130
KRDU:AAL1286_05L_aca1dd_20260524T034819Z,train,243,242,238,228,213,183
KRDU:AAL1286_05L_aca594_20260707T041515Z,train,115,114,110,100,85,55
KRDU:AAL1286_05L_acdfa6_20260629T052254Z,train,139,138,134,124,109,79
KRDU:AAL1286_05L_ad35e0_20260714T035625Z,train,216,215,211,201,186,156
KRDU:AAL1286_05L_adbb39_20260709T033816Z,train,323,322,318,308,293,263
KRDU:AAL1286_23L_abc649_20260712T034528Z,train,196,195,191,181,166,136
KRDU:AAL1286_23L_ac72f0_20260716T034254Z,train,147,146,142,132,117,87
KRDU:AAL1286_23L_acd964_20260704T062000Z,train,198,197,193,183,168,138
KRDU:AAL1286_23L_ace0d2_20260708T034905Z,train,149,148,144,134,119,89
KRDU:AAL1286_23L_ad4105_20260717T044029Z,train,229,228,224,214,199,169
KRDU:AAL1286_23R_a362a9_20260703T043959Z,train,223,222,218,208,193,163
KRDU:AAL1286_23R_aaea84_20260710T033624Z,train,123,122,118,108,93,63
KRDU:AAL1286_23R_ab4c15_20260720T035842Z,val,160,159,155,145,130,100
KRDU:AAL1286_23R_ab8c37_20260705T034138Z,val,153,152,148,138,123,93
KRDU:AAL1286_23R_abb76d_20260702T054621Z,val,325,324,320,310,295,265
KRDU:AAL1286_23R_abedc8_20260527T033432Z,train,169,168,164,154,139,109
KRDU:AAL1286_23R_ac51b2_20260628T032928Z,train,226,225,221,211,196,166
KRDU:AAL1286_23R_ac72f0_20260721T041601Z,train,351,350,346,336,321,291
KRDU:AAL1286_23R_ac82f8_20260525T043603Z,train,185,184,180,170,155,125
KRDU:AAL1286_23R_acf0db_20260711T071749Z,val,294,293,289,279,264,234
KRDU:AAL1286_23R_ad1218_20260719T033622Z,val,267,266,262,252,237,207
KRDU:AAL1286_23R_ad3d4e_20260528T034433Z,train,178,177,173,163,148,118
KRDU:AAL1286_23R_ad79eb_20260530T041352Z,train,219,218,214,204,189,159
KRDU:AAL1286_23R_ad7da2_20260526T033030Z,val,152,151,147,137,122,92
KRDU:AAL1286_23R_addb4a_20260718T043304Z,val,139,138,134,124,109,79
KRDU:AAL129_05L_ac72f0_20260629T015333Z,val,320,319,315,305,290,260
KRDU:AAL129_05L_ad9003_20260630T021656Z,train,285,284,280,270,255,225
KRDU:AAL129_05L_adab31_20260701T022327Z,val,249,248,244,234,219,189
KRDU:AAL1439_05L_a9e6df_20260530T125157Z,train,143,142,138,128,113,83
KRDU:AAL1566_05L_a19343_20260701T010141Z,train,310,309,305,295,280,250
KRDU:AAL1566_05L_ab3982_20260630T011233Z,train,185,184,180,170,155,125
KRDU:AAL1566_05L_ab64b8_20260512T034828Z,train,155,154,150,140,125,95
KRDU:AAL1566_05L_ab84c9_20260715T012150Z,train,274,273,269,259,244,214
KRDU:AAL1566_05L_ac02b4_20260713T010657Z,val,140,139,135,125,110,80
KRDU:AAL1566_05L_ac22c5_20260515T033633Z,train,146,145,141,131,116,86
KRDU:AAL1566_05L_ac2dea_20260508T033620Z,val,133,132,128,118,103,73
KRDU:AAL1566_05L_aced24_20260522T012342Z,train,299,298,294,284,269,239
KRDU:AAL1566_05L_ad34b4_20260523T011307Z,val,311,310,306,296,281,251
KRDU:AAL1566_05L_ad35e0_20260525T010810Z,val,131,130,126,116,101,71
KRDU:AAL1566_05L_ad4390_20260524T013222Z,train,132,131,127,117,102,72
KRDU:AAL1566_05L_ad4c2a_20260720T010628Z,train,181,180,176,166,151,121
KRDU:AAL1566_05L_ad526c_20260629T011046Z,train,136,135,131,121,106,76
KRDU:AAL1566_05L_ad9edf_20260529T011630Z,train,321,320,316,306,291,261
KRDU:AAL1566_05L_adac5d_20260503T061207Z,train,147,146,142,132,117,87
KRDU:AAL1566_05R_ab00ce_20260707T013230Z,val,112,111,107,97,82,52
KRDU:AAL1566_05R_acbf63_20260501T040222Z,train,302,301,297,287,272,242
KRDU:AAL1566_23L_ac9e26_20260526T013050Z,train,155,154,150,140,125,95
KRDU:AAL1566_23R_a35aae_20260504T061856Z,train,141,140,136,126,111,81
KRDU:AAL1566_23R_a35e66_20260519T035335Z,train,262,261,257,247,232,202
KRDU:AAL1566_23R_a362b2_20260518T034321Z,train,139,138,134,124,109,79
KRDU:AAL1566_23R_a3b88e_20260719T012247Z,train,210,209,205,195,180,150
KRDU:AAL1566_23R_a3e07a_20260521T051012Z,train,252,251,247,237,222,192
KRDU:AAL1566_23R_ab3214_20260706T005410Z,train,211,210,206,196,181,151
KRDU:AAL1566_23R_ab35cb_20260506T035302Z,train,303,302,298,288,273,243
KRDU:AAL1566_23R_ab35cb_20260514T034759Z,val,150,149,145,135,120,90
KRDU:AAL1566_23R_ab93a5_20260708T014301Z,train,276,275,271,261,246,216
KRDU:AAL1566_23R_ab9eca_20260628T014013Z,train,141,140,136,126,111,81
KRDU:AAL1566_23R_abca00_20260711T010657Z,val,333,332,328,318,303,273
KRDU:AAL1566_23R_ac0a22_20260509T033909Z,train,320,319,315,305,290,260
KRDU:AAL1566_23R_ac1190_20260516T033700Z,val,166,165,161,151,136,106
KRDU:AAL1566_23R_ac4a44_20260505T034156Z,train,309,308,304,294,279,249
KRDU:AAL1566_23R_ac67fc_20260527T010745Z,train,141,140,136,126,111,81
KRDU:AAL1566_23R_ac7e15_20260513T034840Z,train,146,145,141,131,116,86
KRDU:AAL1566_23R_acca88_20260511T034415Z,train,131,130,126,116,101,71
KRDU:AAL1566_23R_acd0ca_20260709T005744Z,train,292,291,287,277,262,232
KRDU:AAL1566_23R_acea99_20260627T012634Z,train,137,136,132,122,107,77
KRDU:AAL1566_23R_acea99_20260712T010315Z,val,180,179,175,165,150,120
KRDU:AAL1566_23R_ad1c11_20260502T040550Z,train,195,194,190,180,165,135
KRDU:AAL1566_23R_ad1c11_20260510T033255Z,val,312,311,307,297,282,252
KRDU:AAL1566_23R_ad4105_20260530T020827Z,train,138,137,133,123,108,78
KRDU:AAL1566_23R_ad526c_20260704T010456Z,val,123,122,118,108,93,63
KRDU:AAL1566_23R_ad5623_20260721T044532Z,train,152,151,147,137,122,92
KRDU:AAL1566_23R_ad6ff2_20260717T010755Z,train,165,164,160,150,135,105
KRDU:AAL1566_23R_adb3cb_20260705T005532Z,train,248,247,243,233,218,188
KRDU:AAL1566_23R_adda1e_20260710T005113Z,train,207,206,202,192,177,147
KRDU:AAL1605_05L_a6fb32_20260512T045202Z,train,299,298,294,284,269,239
KRDU:AAL1605_23R_a03fff_20260507T020332Z,train,157,156,152,142,127,97
KRDU:AAL1605_23R_a08021_20260504T031756Z,train,147,146,142,132,117,87
KRDU:AAL1605_23R_a08efd_20260516T021811Z,val,151,150,146,136,121,91
KRDU:AAL1605_23R_a0cb68_20260519T031048Z,train,148,147,143,133,118,88
KRDU:AAL1605_23R_a10931_20260514T022726Z,train,316,315,311,301,286,256
KRDU:AAL1605_23R_a14da8_20260520T051440Z,train,149,148,144,134,119,89
KRDU:AAL1605_23R_a16a02_20260510T020624Z,val,154,153,149,139,124,94
KRDU:AAL1605_23R_a71b43_20260509T021857Z,val,145,144,140,130,115,85
KRDU:AAL1605_23R_a7302f_20260502T021356Z,train,153,152,148,138,123,93
KRDU:AAL1605_23R_a75b65_20260518T022010Z,val,141,140,136,126,111,81
KRDU:AAL1605_23R_a7869b_20260517T021605Z,train,336,335,331,321,306,276
KRDU:AAL1605_23R_acdbee_20260505T025344Z,train,368,367,363,353,338,308
KRDU:AAL1605_23R_ace96c_20260521T022101Z,train,152,151,147,137,122,92
KRDU:AAL1605_23R_add2b6_20260513T021951Z,train,299,298,294,284,269,239
KRDU:AAL1605_23R_adeca5_20260511T044323Z,train,332,331,327,317,302,272
KRDU:AAL167R_23R_ab674b_20260704T165029Z,train,144,143,139,129,114,84
KRDU:AAL173_05L_aa305f_20260511T203128Z,train,303,302,298,288,273,243
KRDU:AAL173_05L_aa3b85_20260720T212426Z,train,179,178,174,164,149,119
KRDU:AAL173_05L_aa4195_20260523T201820Z,train,364,363,359,349,334,304
KRDU:AAL173_05L_aa5b92_20260713T203626Z,train,291,290,286,276,261,231
KRDU:AAL173_05L_aa5f41_20260507T204806Z,train,149,148,144,134,119,89
KRDU:AAL173_05L_aa77f0_20260630T200647Z,val,309,308,304,294,279,249
KRDU:AAL173_05L_aa9801_20260528T201554Z,train,336,335,331,321,306,276
KRDU:AAL173_05L_aaa326_20260717T221608Z,train,351,350,346,336,321,291
KRDU:AAL173_05L_aabf80_20260530T212923Z,train,296,295,291,281,266,236
KRDU:AAL173_05L_aac6ee_20260629T200654Z,train,137,136,132,122,107,77
KRDU:AAL173_05L_aad981_20260712T195530Z,train,314,313,309,299,284,254
KRDU:AAL173_23R_aa1a16_20260517T200218Z,train,130,129,125,115,100,70
KRDU:AAL173_23R_aa1dcd_20260514T210253Z,train,126,125,121,111,96,66
KRDU:AAL173_23R_aa28f2_20260518T204445Z,train,130,129,125,115,100,70
KRDU:AAL173_23R_aa3417_20260508T201313Z,train,131,130,126,116,101,71
KRDU:AAL173_23R_aa4195_20260521T202015Z,train,124,123,119,109,94,64
KRDU:AAL173_23R_aa4195_20260527T202031Z,train,152,151,147,137,122,92
KRDU:AAL173_23R_aa57df_20260512T202058Z,train,138,137,133,123,108,78
KRDU:AAL173_23R_aa5b92_20260525T201525Z,train,145,144,140,130,115,85
KRDU:AAL173_23R_aa5b92_20260701T202644Z,train,135,134,130,120,105,75
KRDU:AAL173_23R_aa5b92_20260703T200258Z,train,124,123,119,109,94,64
KRDU:AAL173_23R_aa5b92_20260710T201354Z,val,140,139,135,125,110,80
KRDU:AAL173_23R_aa5f41_20260503T200009Z,train,133,132,128,118,103,73
KRDU:AAL173_23R_aa5f41_20260716T200541Z,train,124,123,119,109,94,64
KRDU:AAL173_23R_aa6914_20260719T201754Z,train,132,131,127,117,102,72
KRDU:AAL173_23R_aa7082_20260504T201654Z,val,144,143,139,129,114,84
KRDU:AAL173_23R_aa7082_20260707T200251Z,val,133,132,128,118,103,73
