typecode,segment,status_now,train_flights,val_flights,faa_engine_class,faa_aac,faa_approach_speed_kt,approach_speed_ms,faa_mtow_kg,faa_malw_kg,wing_area_m2,wing_area_source,thrust_total_kN,thrust_source,power_total_kW,thrust_to_weight,stall_margin_now,recommendation,recommendation_zh,model_code_after,stall_margin_after,stall_margin_own_mass_and_area,nearest_existing,nearest_existing_engine,nearest_existing_aac,nearest_existing_class_match,nearest_existing_stall_margin,second_nearest_existing,similarity_distance_nearest,distance_speed_term,distance_thrust_to_weight_term,similarity_distance_A320,ps_model_code,stall_margin_ps,notes
BCS3,airliner,A320,1760,409,Jet,C,135.0,69.4,70900,60600,112.3,airbus_a220_acp_i013,217.1,easa_tcds_im_e_090_i10,,0.312,1.29,own parameters (primary documents),用本机参数（一手文件）,BCS3,1.23,1.23,E195,Jet,C,True,1.29,A320,0.005,0.0,0.005,0.02,BCS3,1.24,PS wing area 115 m2 differs from the primary document 112.3 m2
P28A,piston_ga,A320,1335,306,Piston,A,70.0,36.0,1107,966,15.79,easa_tcds_im_a_234_i8,,,119,,0.67,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.71,C172,Piston,A,True,1.71,,0.243,0.243,,1.328,,,
CRJ7,airliner,A320,808,191,Jet,C,135.0,69.4,34019,30391,70.61,bombardier_crj700_apm_r15,112.7,easa_tcds_im_e_053_i4,,0.338,1.29,own parameters (primary documents),用本机参数（一手文件）,CRJ7,1.37,1.37,GLF6,Jet,C,True,1.6,E195,0.04,0.029,0.011,0.089,CRJ9,1.3,
E55P,business_jet,A320,778,168,Jet,B,116.0,59.7,8150,7568,28.5,easa_tcds_im_a_158_i11,29.9,easa_tcds_im_e_048_i4,,0.374,1.11,own parameters (primary documents),用本机参数（一手文件）,E55P,1.36,1.36,C550,Jet,B,True,1.51,,0.321,0.199,0.122,0.494,,,
BCS1,airliner,A320,607,127,Jet,C,130.0,66.9,63095,54200,112.3,airbus_a220_acp_i013,217.1,easa_tcds_im_e_090_i10,,0.351,1.24,own parameters (primary documents),用本机参数（一手文件）,BCS1,1.25,1.25,B737,Jet,C,True,1.27,E170,0.029,0.0,0.029,0.202,BCS1,1.28,PS wing area 115 m2 differs from the primary document 112.3 m2
CL35,business_jet,A320,585,101,Jet,C,124.0,63.8,18416,15490,48.5,easa_tcds_im_a_080_i11,66.8,easa_tcds_im_e_058_i10,,0.37,1.19,own parameters (primary documents),用本机参数（一手文件）,CL35,1.32,1.32,E170,Jet,C,True,1.23,E145,0.038,0.0,0.038,0.349,,,
C68A,business_jet,A320,523,104,Jet,B,100.0,51.4,13971,12508,50.4,easa_tcds_im_a_033_i9,52.5,easa_tcds_im_e_051_i4,,0.383,0.96,own parameters (primary documents),用本机参数（一手文件）,C68A,1.21,1.21,C550,Jet,B,True,1.3,,0.244,0.098,0.147,0.816,,,
PC12,turboprop,A320,336,73,Turboprop,A,85.0,43.7,4740,4500,25.81,easa_tcds_a_089_i11,,,895,,0.81,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,1.23,C550,Jet,B,False,1.11,C172,0.423,0.423,,0.94,,,
C700,business_jet,A320,335,70,Jet,C,121.0,62.2,17917,15195,49.91,easa_tcds_im_a_620_i3,68.1,easa_tcds_im_e_058_i10,,0.387,1.16,own parameters (primary documents),用本机参数（一手文件）,C700,1.32,1.32,E170,Jet,C,True,1.2,E145,0.134,0.049,0.085,0.445,,,
C56X,business_jet,OpenAP 同义 C550,327,62,Jet,B,116.0,59.7,9163,8482,34.4,easa_tcds_im_a_207_i10,36.6,easa_tcds_im_e_013_i3,,0.408,1.41,own parameters (primary documents),用本机参数（一手文件）,C56X,1.41,1.41,C550,Jet,B,True,1.51,,0.407,0.199,0.208,0.58,,,
