typecode,wing_area_m2,wing_area_source,wing_area_locator,engine_model,n_engines,rated_takeoff_thrust_kN_each,thrust_source,thrust_locator,rated_takeoff_power_kW_each,power_source,power_locator,notes
BCS3,112.3,airbus_a220_acp_i013,"PDF p115, sec 2.2 Table 6 General aircraft area (A220-300)",PW1524G-3,2,108.54,easa_tcds_im_e_090_i10,"PDF p7, sec 6 Ratings",,,,"S printed ""ESDU wing area (including ailerons, flaps, spoilers and area within the fuselage) 1209 ft2 (112.3 m2)"". Engine options for BD-500-1A11 per easa_tcds_im_a_570_i25 PDF p21 sec 5: PW1521G-3 or PW1524G-3; value = highest-rated option (PW1524G-3 take-off 10854 daN (24400 lbf)); PW1521G-3 = 9773 daN (21970 lbf) = 97.73 kN. Tier-4 ps_params_20250328 gives Sref 115 m2 / span 32.5 m for BCS3, against 112.3 m2 here and span 35.1 m in the TCDS - contradiction, not used."
P28A,15.79,easa_tcds_im_a_234_i8,"PDF p7, sec A.III.4 Dimensions (PA-28-181 Archer III only)",Lycoming O-320-D3G (PA-28-161),1,,,,119.3,faa_tcds_2a13_r66,"PDF p23, XVI-A Model PA-28-161 Engine Limits","FAA ACD row is the PA-28-161 (MTOW 2440 lb): O-320-D3G ""For all operations, 2700 r.p.m. (160 hp)""; engine TCDS faa_tcds_e274_r22 PDF p2 prints takeoff 160 hp at 2700 rpm for the -D3G group. The only printed wing area is for the PA-28-181 (Archer III): 15.79 m2 (170 ft2) in the EASA TCDS; no document opened prints the PA-28-161 wing area. PA-28-181: O-360-A4M 180 hp = 134.2 kW (easa_tcds_im_a_234_i8 PDF p7; faa_tcds_2a13_r66 PDF p20; piper_archer_lx_2026 ""180-horsepower"")."
CRJ7,70.61,bombardier_crj700_apm_r15,"PDF p29, 00-02-02 Table 1 General Aircraft Dimensions and Areas",GE CF34-8C1 or CF34-8C5B1,2,56.36,easa_tcds_im_e_053_i4,"PDF p7, sec 6 Ratings (Normal Takeoff)",,,,"S printed ""Total Wing Area 760 ft.2 (70.61 m2)"". Engines per easa_tcds_im_a_673_i3 PDF p15 (CL-600-2C10). Value = Normal Takeoff (5 min) 56.36 kN (12670 lb), identical for -8C1 and -8C5B1; Maximum Takeoff (APR) 61.34 kN (13790 lb). Source defect: the -8C5B1 Normal Takeoff cell prints ""59.36 (12670)"" - kN and lb disagree; 12670 lb = 56.36 kN, the -8C1 cell prints 56.36 (12670)."
E55P,28.5,easa_tcds_im_a_158_i11,"PDF p9, sec 3 Dimensions",P&WC PW535E,2,14.946,easa_tcds_im_e_048_i4,"PDF p8, sec 6 Ratings",,,,"S printed ""28.5 m2 (306.77 ft2)"". Engines per easa_tcds_im_a_158_i11 PDF p9: PW535E or PW535E1. FAA ACD MTOW 17968 lb = the basic 8150 kg weight; value = PW535E take-off 1494.6 daN. PW535E1 (Phenom 300E, TCDS note 12) = 1547.1 daN = 15.471 kN, corroborated by embraer_phenom300e_brochure ""PW535E1 / 3,478 lbf"" (= 15.47 kN)."
BCS1,112.3,airbus_a220_acp_i013,"PDF p77, sec 2.2 Table 6 General aircraft area (A220-100)",PW1524G,2,108.54,easa_tcds_im_e_090_i10,"PDF p7, sec 6 Ratings",,,,"S printed ""ESDU wing area (including ailerons, flaps, spoilers and area within the fuselage) 1209 ft2 (112.3 m2)"". Engine options for BD-500-1A10 per easa_tcds_im_a_570_i25 PDF p10 sec 5: PW1524G, PW1521G, PW1519G; value = highest-rated (PW1524G 10854 daN (24400 lbf)); PW1521G 9773 daN = 97.73 kN; PW1519G 8796 daN (19775 lbf) = 87.96 kN. Tier-4 ps_params_20250328: Sref 115 m2 / span 32.5 m - contradicts ACP 112.3 m2 and TCDS span 35.1 m; not used."
CL35,48.5,easa_tcds_im_a_080_i11,"PDF p9, sec 16 Dimensions (column ""S/N above 20501"")",Honeywell AS907-2-1A (HTF7350),2,33.39,easa_tcds_im_e_058_i10,"PDF p7, sec 6 Ratings (Take off, ISA sea level)",,,,"S printed ""48.5 m2 (522.0 ft2)"" in both serial columns. Engine by serial per easa_tcds_im_a_080_i11 PDF p6 (S/N 20501 and subsequent: AS907-2-1A); TCDS note 6: ""Challenger 350"" = S/N 20501 on. Engine TCDS: take-off 33.39 kN at ISA SL, 33.50 kN at ISA+20C. CONTRADICTION: bombardier_challenger3500_page prints ""Honeywell HTF7350 turbofans Thrust: 7,323 lbf (33 kN) Flat rated to ISA + 15C"" (7323 lbf = 32.57 kN)."
C68A,50.4,easa_tcds_im_a_033_i9,"PDF p24, Section 2 Model 680A, sec 4 Dimensions",P&WC PW306D1,2,26.27,easa_tcds_im_e_051_i4,"PDF p7, sec 6 Ratings (PW306D/PW306D1)",,,,"S printed ""50.40 m2 (542.51 ft2)"". Aircraft TCDS PDF p24: take-off 26.27 kN (5907 lbs); textron_latitude_card ""Thrust 5,907 lb ea 26.28 kN ea"". Consistent."
PC12,25.81,easa_tcds_a_089_i11,"PDF p5/p11/p17/p25/p34, sec III.3 of every variant",P&WC PT6A-67B / PT6A-67P / PT6E-67XP,1,,,,895,easa_tcds_im_e_008_i6,"PDF p8, sec 5 Ratings (Take-off Power)","S printed ""Total Wing Area: 25.81 m2 - (277.8 ft2)"" for PC-12, /45, /47, /47E, /47G. Aircraft TCDS: every engine ""flat rated at 1200 shp for takeoff"" (1200 shp = 894.8 kW); engine TCDS take-off 895 kW for PT6A-67B, -67P and PT6E-67XP. pilatus_pc12pro_facts_2025: PT6E-67XP ""flat-rated to 1,200 shaft horsepower"", ""Wing area 277.80 ft2 25.81 m2"". Consistent."
C700,49.91,easa_tcds_im_a_620_i3,"PDF p7, sec 4 Dimensions",Honeywell AS907-2-1S (HTF7700L),2,34.04,easa_tcds_im_e_058_i10,"PDF p7, sec 6 Ratings (Take off, ISA sea level)",,,,"S printed ""49.91 m2 (537.27 Ft2)"". Engine TCDS: 34.04 kN at ISA SL, 34.10 kN at ISA+18.9C. Aircraft TCDS PDF p8 and textron_longitude_card print 34.10 kN (7,665 lbs) - the flat-rated break-point figure, 0.2% above the ISA value."
CL60,,,,GE CF34-3B (Challenger 604 variant),2,38.83,easa_tcds_im_e_233_i3,"PDF p7, sec 6 Ratings (Takeoff, 5 min)",,,,"FAA ACD row is the Challenger 604 (CL-600-2B16 604 variant): ""Two - General Electric CF34-3B"" per easa_tcds_im_a_023_i19 PDF p9. Value = Takeoff 38.83 kN (8729 lb), the TCDS's unlimited twin-engine rating; APR Takeoff (one-engine-inoperative reserve) 41.01 kN (9220 lb). bombardier_challenger650_page ""GE CF34-3B MTO Thrust: 9,220 lbf (41kN)"" = the APR figure. Wing area: none of the documents opened prints it."
