# source: EUROCONTROL EEC Technical/Scientific Report No. 2010/008 'Coverage of 2009 European Air Traffic for BADA Revision 3.8', Annex B
# file data/aircraft_performance/bada/BADA_3.8_Coverage_2009_traffic.pdf sha256 d5f2fad85645b94f33806e8da67692a13c2282b26d05f54544226f54512faf79
# table = model | synonym | not_covered (the three Annex B lists); columns as printed: No./rank, ICAO ID, FULL_NAME (truncated in print), BADA_MODEL, TOTAL TRAFFIC, %TOTAL, RANK
# this is the newest PUBLIC per-type BADA list found; current BADA 3 (264 models + 1641 synonyms, Nov 2025) has no public per-type list
table,no,icao,full_name,bada_model,traffic_2009,pct,rank
model,1,A306,AIRBUS A-300B4-600,A306,20453,0.214%,68
model,2,A30B,AIRBUS A-300B2/4,A30B,16417,0.172%,73
model,15,AT43,ATR-42-200/300/320,AT43,66616,0.698%,34
model,21,B712,BOEING 717-200,B712,9560,0.100%,107
model,22,B722,BOEING 727-200,B722,289,0.003%,293
model,26,B735,BOEING 737-500,B735,205396,2.153%,10
model,35,B753,BOEING 757-300,B753,16350,0.171%,74
model,36,B762,BOEING 767-200,B762,26161,0.274%,60
model,38,B764,BOEING 767-400,B764,11376,0.119%,96
model,44,BE20,SUPER KING AIR 200,BE20,57600,0.604%,35
model,45,BE58,BARON 58,BE58,13628,0.143%,85
model,47,BE9L,BEECH 90/A90 TO E90,BE9L,13172,0.138%,86
model,50,C421,GOLDEN EAGLE 421,C421,1715,0.018%,195
model,51,C510,CESSNA 510 CITATION MUST,C510,11456,0.120%,95
model,53,C560,CITATION V,C560,11957,0.125%,92
model,54,C750,CESSNA 750 CITATION,C750,3990,0.042%,149
model,55,CL60,CHALLENGER CL600/601,CL60,26404,0.277%,59
model,56,CRJ1,RJ-100 REGIONAL JET,CRJ1,22079,0.231%,65
model,57,CRJ2,RJ-200 REGIONAL JET,CRJ2,208413,2.185%,9
model,60,D328,D328,D328,39378,0.413%,41
model,61,DA42,DAIMOND DA-42,DA42,26950,0.283%,57
model,67,E120,BRASILIA EMB-120/HH/,E120,11106,0.116%,97
model,68,E135,EMBRAER ERJ-135,E135,37705,0.395%,43
model,72,EA50,ECLIPSE 500,EA50,768,0.008%,241
model,76,F2TH,DASSAULT FALCON 2000,F2TH,28542,0.299%,49
model,79,F900,DASSAULT-BREGUET FAL,F900,28336,0.297%,50
model,80,FA10,DASSAULT FALCON 10/M,FA10,4700,0.049%,140
model,81,FA20,DASSAULT FALCON 20/M,FA20,4402,0.046%,147
model,82,FA50,DASSAULT-BREGUET FAL,FA50,11553,0.121%,94
model,83,FA7X,DASSAULT FALCON 7X,FA7X,3820,0.040%,151
model,84,H25A,DE HAVILLAND DH-125,H25A,217,0.002%,312
model,88,LJ35,GATES LEARJET 35/36,LJ35,11088,0.116%,98
model,89,LJ45,LEARJET 45,LJ45,10846,0.114%,100
model,91,MD82,BOEING MD-82,MD82,130846,1.372%,16
