# source: EUROCONTROL Aircraft Performance Database, https://contentzone.eurocontrol.int/aircraftperformance/details.aspx?ICAO=<TYPE>, retrieved 2026-09-23
# local: data/aircraft_performance/eurocontrol_apd/<TYPE>.html; sha256 per file below
# 'No' = the site returns its empty 'No' page (type not in the database); performance_similarity copied verbatim ('|' = field separator on the page)
# page footer: 'All data presented is only indicative and should not be used operationally.' / 'Copyright permission must be sought from EUROCONTROL.'
requested,file,sha256,icao,name,manufacturer,type,mtow_kg,approach_ias_kt,approach_mcs_kt,vat_ias_kt,landing_distance_m,apc,wing_span,power_plant,performance_similarity_raw
A306,A306.html,c1f23ece1e07103431b85368ead0b27c0afa8e6f7e68e7bead366cc094c114b2,A306,A-300-600,AIRBUS,L2J,171700,240,220,139,1532,C,44.84 m,2 x 262kN CF6-80C2 or 2 x 249kN P&W PW4000 turbofans.,No data
A30B,A30B.html,aedfca312460341128633f2deb7aac90b0b265aa22aec7c02c5122b7bff3f88f,A30B,A300,AIRBUS,L2J,165000,240,220,141,1635,C,44.8 m,2 x 233 kN GE CF6-50-C2 or 2 x 234 kN P&W JT9D-59A1T turbofans.,No data
A339,A339.html,acfcca07e82bd2fb7bebe9a6d13bf755ef5227bdbded8ff06d761d15ec0f47e7,A339,A330-900,AIRBUS,L2J,251000,220,200,140,1850,D,64 m,2 x 324kN Rolls-Royce Trent 7000,ICAO Code: | A338 | Notes: | The A339 has less range but more pax for very similar perfromance | ICAO Code: | A333 | Notes: | The A339 offers greater aerodynamic efficiency
ASTR,ASTR.html,a472c153827e8f70089541b93abe94e43869844cc5f8675a9703f9b90d01c90e,ASTR,Gulfstream G100,Israel Aerospace Industries (IAI),L2J,11180,200,170,120,900,B,16.1 m,"1125: 2 x 16.23 kN Garett TFE 731-3B-100G turbofans. SP: 2 x 16,6 kN AlliedSignal TFE731-3C-200G turbofans. SPX: 2 x 18.91 kN AlliedSignal TFE731-40R-200G turbofans.",No data
B350,B350.html,c343f759942824c1ab3c63738dc52d890960c23d2c6918c478fcdeaaf587f90c,B350,B300 Super King Air 350,HAWKER BEECHCRAFT,L2T,6800,250,150,110,820,B,17.7 m,2 x 1.050 SHP P&W PT6A-60A turboprop with 4 blade propellers.,No data
B712,B712.html,2c26b8edb3f1d632e7cbd7ae47665ba7ebe3bc8e99737be5bdacb8273955e95b,B712,717-200,BOEING,L2J,54885,210,no data,139,1600,C,28.5 m,"2 x 93,4 kN R-R BR715-C1-30 turbofans.",No data
B722,B722.html,fc6a87ade77530b2977e7842d7c5e36ac6ffb85b010852b0be31d2763c0d7b36,B722,727-200,BOEING,L3J,95300,210,1300,133,1500,C,32.9 m,"3 x 64.4 kN P&W JT8D-9 or 3 x 67,2 kN P&W JT8D-11 or 3 x 72 kN P&W JT8D-17 or 3 x 77,4 kN P&W JT8D-17R turbofans, optional with hush-kits for noise reduction.",No data
B735,B735.html,483526c16298bbe2cf2940e078b6ce650242339620a85b41f8af8640c8e22fd4,B735,737-500,BOEING,L2J,52390,250,210,128,1400,C,28.9 m,"2 x 82 kN CFM56-3B4 or 2 x 89 kN CFM56-3B1 turbofans, optional derated to 82.3 kN.",No data
B753,B753.html,9298f0cd9382819d287eb381276e33390ab705a0e8bb87ae9f279e98596a5c03,B753,757-300,BOEING,L2J,123600,230,220,143,1800,D,38.1 m,2 x 162.8 kN P&W PW2037 or 2 x 178.4 kN P&W PW2040 or 2 x 189.4 P&W PW2043 or 2 x 193.5 kN R-R RB 211-535E4B turbofans.,No data
B762,B762.html,8e6280848a9930f4d28b7286de2071fdc5eeab89b120f0c092d38e174169807b,B762,767-200ER,BOEING,L2J,179170,250,220,135,1500,C,47.6 m,2 x 281.6 kN P&W PW4062 or 2 x 276.2 kN GE CF6-80C2B7F,No data
B764,B764.html,7e53bb7e72c0e01b1695a91979b8f3c04c2174803171e054956e35c1f7dd2a05,B764,767-400,BOEING,L2J,204120,230,220,150,1800,D,51.9 m,2 x 281.6kN P&W PW4062 or 2 x 282.5kN GE CF6-80C2B8F,No data
B78X,B78X.html,54289cb1f32f3617bae54a4c8db674f0f226aacb4a118efd28696e3be31b044c,B78X,787-10 Dreamliner,BOEING,L2J,254011,240,210,150,1520,C,60.12 m,2x 340kN GEnx-1B or 2x 340kN RR Trent 1000 TEN turbofans,No data
BCS1,BCS1.html,912e29cdbf9d6b1e8c08fee00051b817f3b6db7a4278f81705e343cdf590ff59,BCS1,Airbus A220-100,AIRBUS,L2J,63100,210,190,135,1350,C,35.1 m,2 x Pratt & Whitney Pure Power PW1500G,ICAO Code: | BCS3 | Notes: | Better rates of climb (lower MTOM)
BCS3,BCS3.html,488c64596eeec36dcead37d6a5da15a05076977f1808dcaea1c278c6cbe0ffab,BCS3,AIRBUS A-220-300,AIRBUS,L2J,69900,210,190,140,1448,C,35.1 m,2 x Pratt & Whitney PurePower PW1500G,ICAO Code: | BCS1 | Notes: | Lower rates of climb due to higher MTOM
BE20,BE20.html,57966e566f0e9929337570741dd0e8d7687e9ac8bae1a2383c94edbbaa8367ce,BE20,King Air 200,HAWKER BEECHCRAFT,L2T,5670,180,110,100,540,B,16.6 m,2 x 850 SHP P&W PT6A-42 turboprops with 3 blade propellers.,No data
BE36,BE36.html,20b996768f4b4db5f2b9f572071a60952bceb246d9262069a53d38c7217d6cc1,BE36,36 Bonanza (piston),HAWKER BEECHCRAFT,L1P,1650,120,75,70,450,A,8.4 m,1 x 300 HP Continental IO-550-B piston or 1 x 300 HP Continental TIO-520-UB turbocharged piston engine with 3 blade propeller.,No data
BE40,BE40.html,a98382938fa576922d64cc0b3c4295548686e5c0c2f9c7ef909e58963d939be1,BE40,Beechjet 400,HAWKER BEECHCRAFT,L2J,7300,200,140,120,1100,B,13.3 m,2 x 12.9 kN P&W JT15D-5 turbofans.,No data
C208,C208.html,92075e84812ce5bf70c347e09ce5892123714201e4f46b0e89a12f306e6ff657,C208,"208 Caravan 1,(Super)Cargomaster",CESSNA,L1T,3629,120,75,75,450,A,15.9 m,1 x 600 SHP PWC PT6A-114 turboprop with 3 blade propeller. 208B: 1 x 675 SHP PWC PT6A-114A turboprop with 3 blade propeller.,No data
C25A,C25A.html,f6ee5273dffd24fcd09e704a5378c8d68dc692e99caee0163ee63bc9f014b689,C25A,525A Citation CJ2,CESSNA,L2J,5670,220,1500,110,908,B,15.19 m,no data,No data
C25B,C25B.html,6f7732976214589ae63fa4b40be77278457973dec661e4c8316c1585805ee6be,C25B,525B Citation CJ3,CESSNA,L2J,6291,200,150,108,844,B,16.26 m,2x 12.54kN Williams FJ44-3A,No data
C25C,C25C.html,3318ce298dd841c9a175a61d885d63d4f7bf3b9e82609a60a58aab3920443889,C25C,525C Citation CJ4,CESSNA,L2J,7761,200,140,110,896,B,15.49 m,2x 16.11kN Williams FJ44-4A,No data
