# source: ICAO Aircraft Engine Emissions Databank, issue 32 (20 March 2026), EASA-hosted, sheet 'Gaseous Emissions and Smoke'
# file edb-emissions-databank_v32__web_.xlsx sha256 57a9ff572458ad3a3141afc1aea932b5faa5796d279f0ac74600b27869302530
# engine designations per type: EASA TCDSN via the ANP substitution table 'by aircraft configuration' (ENGINE_TYPE column), else APD 'Power plant'
# match = exact designation (after removing a trailing '(...)' installation suffix); family = hand-checked reading, see README
typecode,engine_designation,match,UID No,Engine Identification,Rated Thrust (kN),Eng Type,B/P Ratio,Data Superseded,Current Engine Status
A306,CF6-80C2A1,exact,1GE014,CF6-80C2A1,257.39999999999998,TF,5.0999999999999996,,Out of production
A306,CF6-80C2A1,exact,2GE036,CF6-80C2A1,257.39999999999998,TF,5.0999999999999996,,Out of production
A306,CF6-80C2A3,exact,1GE018,CF6-80C2A3,262.22000000000003,TF,5.0999999999999996,,Out of production
A306,CF6-80C2A3,exact,2GE038,CF6-80C2A3,262.22000000000003,TF,5.0999999999999996,,Out of production
A306,CF6-80C2A5,exact,1GE020,CF6-80C2A5,267.3,TF,5.0999999999999996,,Out of production
A306,CF6-80C2A5,exact,2GE039,CF6-80C2A5,267.33999999999997,TF,5.0999999999999996,,Out of production
A306,CF6-80C2A5F,exact,3GE056,CF6-80C2A5F,271.88,TF,5.0999999999999996,,Out of production
A306,JT9D-7R4H1,exact,1PW030,JT9D-7R4H1,249.1,TF,4.8,,Out of production
A306,PW4158,exact,1PW048,PW4158,258,TF,4.5999999999999996,,Out of production
A30B,CF6-50C,exact,1GE006,CF6-50C,224.2,TF,4.3,,Out of production
A30B,CF6-50C,exact,3GE070,CF6-50C,224.2,TF,4.3,,Out of production
A30B,CF6-50C2,exact,3GE074,CF6-50C2,230.4,TF,4.3,,Out of production
A30B,CF6-50C2R,exact,1GE008,CF6-50C2R,224.2,TF,4.3,,Out of production
A30B,CF6-50C2R,exact,3GE072,CF6-50C2R,224.2,TF,4.3,,Out of production
A30B,JT9D-59A,exact,1PW033,JT9D-59A,235.8,TF,4.9000000000000004,,Out of production
A339,Trent 7000 (APD) -> EDB Trent7000-68/-70/-72/-72C/-72D,family,02P23RR139,Trent7000-68,308.73774435399997,TF,9.1551799999999997,,Out of Production
A339,Trent 7000 (APD) -> EDB Trent7000-68/-70/-72/-72C/-72D,family,02P23RR140,Trent7000-70,317.77208323600001,TF,9.0933799999999998,,Out of Production
A339,Trent 7000 (APD) -> EDB Trent7000-68/-70/-72/-72C/-72D,family,02P23RR141,Trent7000-72,327.918477618,TF,8.9393899999999995,,Out of Production
A339,Trent 7000 (APD) -> EDB Trent7000-68/-70/-72/-72C/-72D,family,02P23RR142,Trent7000-72C,327.918477618,TF,8.9393899999999995,,Out of Production
A339,Trent 7000 (APD) -> EDB Trent7000-68/-70/-72/-72C/-72D,family,02P23RR143,Trent7000-72D,327.918477618,TF,8.9393899999999995,,Out of Production
B712,BR700-715A1-30,exact,4BR002,BR700-715A1-30,84.16,MTF,4.66,,Out of production
B712,BR700-715A1-30,exact,4BR005,BR700-715A1-30,83.23,MTF,4.68,,Out of production
B712,BR700-715C1-30,exact,4BR004,BR700-715C1-30,95.33,MTF,4.55,,Out of production
B712,BR700-715C1-30,exact,4BR007,BR700-715C1-30,95.33,MTF,4.54,,Out of production
B722,JT8D-15,exact,1PW009,JT8D-15,68.94,MTF,1.03,,Out of production
B722,JT8D-15,exact,1PW010,JT8D-15,68.94,MTF,1.03,,Out of production
B735,CFM56-3B1,exact,1CM004,CFM56-3-B1,89.41,TF,5.0999999999999996,,Out of production
B735,CFM56-3B2,exact,1CM005,CFM56-3B-2,98.3,TF,5.0999999999999996,,Out of production
B735,CFM56-3C1,exact,1CM007,CFM56-3C-1,104.6,TF,5.0999999999999996,,Out of production
B735,CFM56-3C1,exact,1CM006,CFM56-3C-1 (Rerated),82.29,TF,5.0999999999999996,,Out of production
B753,PW2037,exact,4PW072,PW2037,166.35,TF,5.71,,Out of production
B753,PW2040,exact,4PW073,PW2040,182.02,TF,5.54,,Out of production
B762,CF6-80A,exact,1GE010,CF6-80A,208.8,TF,5,,Out of production
B762,CF6-80A2,exact,1GE012,CF6-80A2,216.5,TF,5,,Out of production
B762,CF6-80C2B2,exact,1GE025,CF6-80C2B2,231.1,TF,5.0999999999999996,,Out of production
B762,CF6-80C2B2,exact,2GE042,CF6-80C2B2,231.08,TF,5.0999999999999996,,Out of production
B762,CF6-80C2B2F,exact,1GE026,CF6-80C2B2F,231.35,TF,5.0999999999999996,,Out of production
B762,CF6-80C2B2F,exact,2GE046,CF6-80C2B2F,231.35,TF,5.0999999999999996,,Out of production
B762,CF6-80C2B4,exact,1GE027,CF6-80C2B4,254.35,TF,5.0999999999999996,,Out of production
B762,CF6-80C2B4,exact,2GE043,CF6-80C2B4,254.35,TF,5.0999999999999996,,Out of production
B762,CF6-80C2B4F,exact,1GE028,CF6-80C2B4F,254.79,TF,5.0999999999999996,,Out of production
B762,CF6-80C2B4F,exact,2GE047,CF6-80C2B4F,254.79,TF,5.0999999999999996,,Out of production
B762,CF6-80C2B6F,exact,1GE030,CF6-80C2B6F,267.02999999999997,TF,5.0999999999999996,,Out of production
