type_designator,class,engine_number_type_faa_weight_class,icao_wtc,cwt,srs,lahso_group,pdf_page
A002,Gyroplane,1P/S,Light,I,I,,10
A1,Fixed-wing,1P/S+,Medium,H,III,,10
A10*,Fixed-wing,2J/L,Medium,G,III,,10
A109,Helicopter,2T/S,Light,I,I,,10
A119,Helicopter,1T/S,Light,I,I,,10
A122,Fixed-wing,1P/S,Light,I,I,,10
A124,Fixed-wing,4J/H,Heavy,D,III,,10
A129,Helicopter,2T/S,Light,I,I,,10
A139,Helicopter,2T/S+,Light,I,I,,10
A140,Fixed-wing,2T/L,Medium,G,III,,10
A148,Fixed-wing,2J/L,Medium,F,III,,10
A149,Helicopter,2T/S+,Medium,H,I,,10
A158,Fixed-wing,2J/L,Medium,F,III,,10
A169,Helicopter,2T/S,Light,I,I,,11
A178,Fixed-wing,2J/L,Medium,F,III,,11
A189,Helicopter,2T/S+,Medium,H,I,,11
A19,Fixed-wing,1P/S,Light,I,I,,11
A19N,Fixed-wing,2J/L,Medium,F,III,7,11
A20,Fixed-wing,2P/S+,Medium,H,III,,11
A205,Gyroplane,1P/S,Light,I,I,,11
A20J,Fixed-wing,1J/S,Light,I,III,,11
A20N,Fixed-wing,2J/L,Medium,F,III,7,11
A21,Fixed-wing,1P/S,Light,I,I,,11
A210,Fixed-wing,1P/S,Light,I,I,,11
A211,Fixed-wing,1P/S,Light,I,I,,11
A21N,Fixed-wing,2J/L,Medium,F,III,7,11
A22,Fixed-wing,1P/S,Light,I,I,,11
A223,Fixed-wing,1P/S,Light,I,I,,11
A225,Fixed-wing,6J/J,Heavy,A,III,,11
A23,Fixed-wing,1P/S,Light,I,I,,11
A25,@Fixed-wing,1P/S,Light,I,I,,11
A251,@Fixed-wing,2P/S,Light,I,II,,11
A27,Fixed-wing,1P/S,Light,I,I,,11
A270,Fixed-wing,1T/S,Light,I,I,,11
A29,Fixed-wing,1P/S,Light,I,I,,11
A2RT,Helicopter,2T/S,Light,I,I,,11
A3*,Fixed-wing,2J/L,Medium,G,III,,11
A306,Fixed-wing,2J/H,Heavy,C,III,7,11
A30B,Fixed-wing,2J/H,Heavy,C,III,8,11
A31,Fixed-wing,1P/S,Light,I,I,,11
A310,Fixed-wing,2J/H,Heavy,C,III,7,11
A318,Fixed-wing,2J/L,Medium,F,III,7,11
A319,Fixed-wing,2J/L,Medium,F,III,7,11
A320,Fixed-wing,2J/L,Medium,F,III,7,11
A321,Fixed-wing,2J/L,Medium,F,III,7,11
A32E,Fixed-wing,1E/S,Light,I,I,,11
A32P,Fixed-wing,1P/S,Light,I,I,,11
A33,Fixed-wing,1P/S,Light,I,I,,11
A332,Fixed-wing,2J/H,Heavy,B,III,8,11
A333,Fixed-wing,2J/H,Heavy,B,III,8,12
A337,Fixed-wing,2J/H,Heavy,D,III,,12
A338,Fixed-wing,2J/H,Heavy,D,III,8,12
A339,Fixed-wing,2J/H,Heavy,D,III,9,12
A33E,Fixed-wing,1E/S,Light,I,I,,12
A33P,Fixed-wing,1P/S,Light,I,I,,12
A342,Fixed-wing,4J/H,Heavy,D,III,9,12
A343,Fixed-wing,4J/H,Heavy,B,III,9,12
A345,Fixed-wing,4J/H,Heavy,B,III,9,12
A346,Fixed-wing,4J/H,Heavy,B,III,9,12
A34E,Fixed-wing,1E/S,Light,I,I,,12
A35,Fixed-wing,1P/S,Light,I,I,,12
A359,Fixed-wing,2J/H,Heavy,B,III,9,12
A35K,Fixed-wing,2J/H,Heavy,D,III,9,12
A37*,Fixed-wing,2J/S+,Light,I,III,,12
A388,Fixed-wing,4J/J,Super,A,III,10,12
A3ST,Fixed-wing,2J/H,Heavy,D,III,,12
A4*,Fixed-wing,1J/S+,Medium,H,III,,12
A400,Fixed-wing,4T/H,Heavy,D,III,,12
