fleet_rows_observed,ICAO_Code,FAA_Designator,Manufacturer,Model_FAA,Model_BADA,Physical_Class_Engine,Num_Engines,AAC,AAC_minimum,AAC_maximum,ADG,TDG,Approach_Speed_knot,Approach_Speed_minimum_knot,Approach_Speed_maximum_knot,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,MTOW_lb,MALW_lb,Main_Gear_Config,ICAO_WTC,Parking_Area_ft2,Class,FAA_Weight,CWT,One_Half_Wake_Category,Two_Wake_Category_Appx_A,Two_Wake_Category_Appx_B,Rotor_Diameter_ft,SRS,LAHSO,FAA_Registry,Registration_Count,TMFS_Operations_FY24,Remarks,LastUpdate
5864,B38M,B38M,BOEING,Boeing 737 MAX 8,Boeing B737-8 Max,Jet,2,D,C,D,III,2B,145,140,145,117.8,,129.69999999999999,40.299999999999997,51.2,56.5,18.8,181200,152800,D,Medium,17214.7,Fixed-wing,Large,F,D,D,C,,III,8,Yes,148,1020032,"Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",
5537,B737,B737,BOEING,Boeing 737-700,Boeing B737-700,Jet,2,C,,,III,3,130,,,112.6,117.4,110.3,41.6,41.3,46.6,22.9,154500,145600,D,Medium,14137.2,Fixed-wing,Large,F,D,D,C,,III,8,Yes,633,1720060,AAC validated by Flight Standardization Board (FSB) report.,
4963,B738,B738,BOEING,Boeing 737-800,Boeing B737-800,Jet,2,D,C,D,III,3,144,140,144,112.6,117.4,129.5,41.4,51.2,56.4,23,174200,146275,D,Medium,16487,Fixed-wing,Large,F,D,D,C,,III,8,Yes,971,2484764,"Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",
3401,E75L,E75L,EMBRAER,Embraer 175 long wing,Embraer ERJ 170-200 IGW EWT,Jet,2,C,,,III,3,126,,,,101.7,106,32.4,37.4,38.700000000000003,29.6,85517,74957,D,Medium,12398.7,Fixed-wing,Large,G,E,D,D,,III,6,Yes,509,1262322,AAC validated by Flight Standardization Board (FSB) report.,
2249,B739,B739,BOEING,Boeing 737-900,Boeing B737-900ER,Jet,2,D,C,D,III,3,149,140,149,112.6,117.4,138.19999999999999,41.4,56.3,61.6,23,187700,71400,D,Medium,17549.400000000001,Fixed-wing,Large,F,D,D,C,,III,8,Yes,296,962126,"Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",
1895,A319,A319,AIRBUS,Airbus A319,Airbus A319-131,Jet,2,C,,,III,3,126,,,111.9,117.5,111,39.700000000000003,36.200000000000003,44.9,29.4,168653,134482,D,Medium,14140.5,Fixed-wing,Large,F,D,D,C,,III,7,Yes,413,915976,AAC validated by Flight Standardization Board (FSB) report.,
1650,CRJ9,CRJ9,CANADAIR,canadair CRJ-900,Canadair CRJ-900,Jet,2,D,C,D,III,2B,141,132,141,81.5,,118.8,24.1,56.8,56.8,16.399999999999999,80500,73500,D,Medium,11334.2,Fixed-wing,Large,G,E,D,D,,III,8,Yes,306,906392,"Long Range version has an increased MALW, such that CRJ9 approach Category falls into D. AAC validated by Flight Standardization Board (FSB) report.",
1202,A321,A321,AIRBUS,Airbus A321,Airbus A321-111,Jet,2,D,C,D,III,3,142,140,142,111.9,117.5,146,39.700000000000003,55.5,64.2,29.4,200621,171520,D,Medium,19256.3,Fixed-wing,Large,F,D,D,C,,III,7,Yes,491,1364686,"The final approach speed is 140 knot at a MALW of 166,449 lb and classifies the aircraft into the AAC C while approach speed is 142 knot at a MALW of 171,520 lb and classifies into the AAC D.  AAC validated by Flight Standardization Board (FSB) report.",
1000,A320,A320,AIRBUS,Airbus A320,Airbus A320-231,Jet,2,C,,,III,3,136,,,111.9,117.5,123.3,39.6,41.5,50.2,29.4,171961,145505,D,Medium,16354.4,Fixed-wing,Large,F,D,D,C,,III,7,Yes,698,1397404,AAC validated by Flight Standardization Board (FSB) report.,
881,A21N,A21N,AIRBUS,Airbus A321 Neo,Airbus A321-251N,Jet,2,C,,,III,3,136,,,,117.5,146,39.700000000000003,55.5,64.2,29.4,209439,174606,D,Medium,19253,Fixed-wing,Large,F,D,D,C,,III,7,Yes,106,307984,AAC validated by Flight Standardization Board (FSB) report.,
713,B39M,B39M,BOEING,Boeing 737 MAX 9,Boeing B737-9 Max,Jet,2,D,C,D,III,3,150,140,150,117.8,,138.30000000000001,40.799999999999997,56.3,62.1,23.1,194700,163900,D,Medium,18313.7,Fixed-wing,Large,F,D,D,C,,III,8,Yes,53,291234,"Depending on flaps configuration and MALW, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",
535,A20N,A20N,AIRBUS,Airbus A320 Neo,Airbus A320-271N,Jet,2,C,,,III,3,137,,,,117.5,123.3,39.6,41.5,50.2,29.4,174165,148591,D,Medium,16358.3,Fixed-wing,Large,F,D,D,C,,III,7,Yes,147,540276,AAC validated by Flight Standardization Board (FSB) report.,
314,C56X,C56X,CESSNA,Cessna Excel/XLS,Cessna Citation XLS+,Jet,2,B,,,II,1B,116,,,56.3,,51.8,17.2,21.9,21.9,14.9,20200,18700,S,Medium,3766.9,Fixed-wing,Small+,H,F,E,E,,III,7,Yes,636,336338,"According to FSB data, If flaps configuration is set for 15 or 20 degrees (not full flaps), AAC is C.",
239,B763,B763,BOEING,Boeing 767-300,Boeing B767-300ER,Jet,2,C,,,IV,5,140,,,156.1,167,180.3,52.6,74.7,82.2,35.799999999999997,412000,320000,2D,Heavy,30766.3,Fixed-wing,Heavy,C,C,C,B,,III,9,Yes,462,564482,,
178,B752,B752,BOEING,Boeing 757-200,Boeing B757-200,Jet,2,C,,,IV,4,137,,,124.8,134.80000000000001,155.30000000000001,45.1,60,72,28,255500,198000,2D,Medium,21601.7,Fixed-wing,Large,E,D,D,C,,III,7,Yes,474,468496,,
175,E170,E170,EMBRAER,Embraer 170,Embraer ERJ 170-100 IGW,Jet,2,C,,,III,3,124,,,,85.3,98.1,32.299999999999997,33.799999999999997,38.799999999999997,20.5,85098,73413,D,Medium,9823.5,Fixed-wing,Large,G,E,D,D,,III,7,Yes,663,573944,AAC validated by Flight Standardization Board (FSB) report.,
154,E190,E190,EMBRAER,Embraer 190,Embraer ERJ 190-100 IGW,Jet,2,C,,,III,3,124,,,,94.2,118.9,34.6,41,46,22.9,110892,94799,D,Medium,12912.5,Fixed-wing,Large,F,D,D,C,,III,7,Yes,126,182240,AAC validated by Flight Standardization Board (FSB) report.,
147,GLF5,GLF5,GULFSTREAM AEROSPACE,Gulfstream V,Gulfstream G550,Jet,2,C,,,III,2B,136,,,,93.5,96.4,25.9,45,43.8,16.899999999999999,90500,75300,D,Medium,10497,Fixed-wing,Large,F,D,D,C,,III,8,Yes,154,129946,AAC validated by Flight Standardization Board (FSB) report. Corrected wheelbase using a Gulfstream GV Operating Manual.,45517
141,GLF6,GLF6,GULFSTREAM AEROSPACE,Gulfstream G650,Gulfstream G650,Jet,2,C,,,III,2B,137,,,,99.7,99.8,25.8,45,42.6,17.5,99600,83500,D,Medium,11478.9,Fixed-wing,Large,F,D,D,C,,III,8,Yes,48,74382,AAC validated by Flight Standardization Board (FSB) report. Registration count does not include G650ER (288 G650ERs in US registry).,45517
126,A306,A306,AIRBUS,Airbus A300 B4-600,Airbus A300B4-622,Jet,2,C,,,IV,5,137,,,147.1,,177.4,54.7,61,75,36,363760,304230,2D,Heavy,28666.7,Fixed-wing,Heavy,C,C,C,B,,III,7,Yes,29,138268,AAC validated by Flight Standardization Board (FSB) report.,
119,C25A,C25A,CESSNA,Cessna Citation CJ2,Cessna Citation CJ2+,Jet,2,B,,,II,2A,114,,,49.8,,47.7,14,17.8,17.8,15.9,12500,11525,S,Light,3151.2,Fixed-wing,Small,I,F,F,F,,III,7,Yes,284,70808,AAC validated by Flight Standardization Board (FSB) report.,
103,LJ45,LJ45,LEARJET,Bombardier Learjet 45,Learjet 45,Jet,2,C,,,I,1B,123,,,47.8,,58,14.1,25,25,11,21500,19200,D,Medium,3643.5,Fixed-wing,Small+,H,F,E,E,,III,6,Yes,398,107878,AAC validated by Flight Standardization Board (FSB) report.,
75,PC24,PC24,PILATUS,Pilatus PC-24,Pilatus PC-24,Jet,2,B,,,II,2A,107,,,55.8,,55.3,17.7,25.4,25.4,16.100000000000001,18300,16900,D,Medium,3967.7,Fixed-wing,Small+,H,F,E,E,,III,N/A,Yes,69,47482,AAC validated by Flight Standardization Board (FSB) report.,
71,A333,A333,AIRBUS,Airbus A330-300,Airbus A330-301,Jet,2,C,,,V,5,137,,,197.8,,209,45.7,83.3,97.3,41.4,533519,412264,2D,Heavy,44473.5,Fixed-wing,Heavy,B,B,B,A,,III,8,Yes,43,112148,AAC validated by Flight Standardization Board (FSB) report.,
63,C172,C172,CESSNA,Cessna Skyhawk 172/Cutlass,Cessna 172S Skyhawk SP,Piston,1,A,,,I,1A,62,,,36.1,,27.2,8.9,5.4,5.4,8.4,2550,2450,S,Light,1483,Fixed-wing,Small,I,F,F,F,,I,1,Yes,20154,413588,,
62,B772,B772,BOEING,Boeing 777-200,Boeing B777-200ER,Jet,2,C,,,V,5,140,,,199.9,,209.1,61.5,84.9,96.8,42.3,656000,470000,3D,Heavy,44939.7,Fixed-wing,Heavy,B,B,B,A,,III,9,Yes,169,169660,AAC validated by Flight Standardization Board (FSB) report.,
60,B788,B788,BOEING,Boeing 787-8 BBJ/Dreamliner,Boeing B787-8,Jet,2,D,C,D,V,5,144,140,144,197.3,,186.1,56.1,74.8,83.4,38.1,502500,380000,2D,Heavy,39602,Fixed-wing,Heavy,B,B,B,A,,III,7,Yes,69,95034,"Depending on configurations and performance packages, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",
43,CRJ2,CRJ2,CANADAIR,canadair CRJ-200,Canadair CRJ-200,Jet,2,D,,,II,1B,141,,,68.7,,87.8,20.8,37.4,37.4,13.3,47450,44700,D,Medium,7302.9,Fixed-wing,Large,G,E,D,D,,III,7,Yes ,511,431708,AAC validated by Flight Standardization Board (FSB) report.,
