icao_type,yml_present,oew_kg,mlw_kg,mtow_kg,yml_path,yml_sha256
B38M,yes,45000,66300,82000,openap/data/aircraft/b38m.yml,b371abccd2d42f76ec81b633e367040ee0dd17f06ebef2d7f4e6d09b6d5536c8
B737,yes,37600,58600,70000,openap/data/aircraft/b737.yml,2905bc7212ad2d9f0c5bb16033e62b87b25bf8b6b56c9f42744d606932b127bb
B738,yes,41400,66300,79000,openap/data/aircraft/b738.yml,be9001602c3677298315d52bbb373782d892e04f0b32d08167f53f025ba3ab30
E75L,yes,21890,34000,38790,openap/data/aircraft/e75l.yml,2347883f68d141e872e58cbe4ffe3d908afc301abd8d3846c4215292a4b9f5b0
B739,yes,44600,71300,85100,openap/data/aircraft/b739.yml,445c8650734175708b6a6338cbd48998f5f7984fde61c21b6a7f1b32226d7f7e
A319,yes,40800,62500,75500,openap/data/aircraft/a319.yml,3e6dd0964e2cb1c5bb55dd1c003c033084e8bf514943abcc9e1e343eb3864967
CRJ9,yes,20412,33340,37421,openap/data/aircraft/crj9.yml,5f0ebd0c7d66ad61c6f8125052269725bb1c85e1b555b5179f73a16d5f689f0c
A321,yes,48500,77800,93500,openap/data/aircraft/a321.yml,fab6ff670cea8bf66abc49219f2e6d119c04274a55a16cf8d96463a0d3f771f6
A320,yes,42600,66000,78000,openap/data/aircraft/a320.yml,b78f5073cb07f55ad6a84a921307b927104cd4e5cdb600de6e0f394a4f4d0fda
A21N,yes,50000,77800,97000,openap/data/aircraft/a21n.yml,10f3f6c95807728b984102ee1a516b78c62cd375056fc1b3fc6c846904baa157
B39M,yes,45000,71000,88000,openap/data/aircraft/b39m.yml,6713c870939690c32bb4ec4c84fd08311d9098a8c0c2de702f953c0e735d2627
A20N,yes,44300,66000,79000,openap/data/aircraft/a20n.yml,66e5b15d927d6abf8d0204b98fca46bc141f3bac3224d15b8186f510869eeaef
C56X,no,,,,,
B763,yes,90000,136000,158700,openap/data/aircraft/b763.yml,8347e93fb73c87ee3e201e341bc33c128bb2302fa31035c7d021fcc552f8eeda
B752,yes,58400,92200,115600,openap/data/aircraft/b752.yml,391c49980268bcf788dcc2727024522cb1ef06e007250a48c5b413e7eba62378
E170,yes,21140,32800,34200,openap/data/aircraft/e170.yml,0afb83dafc050bf7f2ca6ece71cd1449ccc68fb8bec62d5b362ad64b9a6d2019
E190,yes,27753,43000,50300,openap/data/aircraft/e190.yml,669fe81f0e1ff9ec00bc257690c83735e04c9b99d07e5e6d45d40e389e58ecaf
GLF5,no,,,,,
GLF6,yes,24000,37900,45200,openap/data/aircraft/glf6.yml,6ca5a3bb70d0d5e572d01eaadd338d15419692cae72d22ac941d5421e6bb423d
A306,no,,,,,
C25A,no,,,,,
LJ45,no,,,,,
PC24,no,,,,,
A333,yes,122780,188000,242000,openap/data/aircraft/a333.yml,794e310ec2fe08faefa282cc01ce3590b079f5906676b46530dc7acc5b8f8249
C172,no,,,,,
B772,yes,138000,213000,297000,openap/data/aircraft/b772.yml,6c056746a9430cf2dd4232ab3486e3c3141ed88478f7ab25959b52a2ed9b8273
B788,yes,119000,172000,228000,openap/data/aircraft/b788.yml,474d161dec88e86d557199931b6a3f61f03ad023402d35d0907f190420940f01
CRJ2,no,,,,,
C525,no,,,,,
GL5T,no,,,,,
B789,yes,128000,193000,254000,openap/data/aircraft/b789.yml,648bbb3887c3dc746d0738e7916eac75b5d549098b2a2081b2e3f2b85a66d0de
C550,yes,3655,6804,6849,openap/data/aircraft/c550.yml,bc31d241e4e414acbcca021859206344c4a5eba4464195b2460adeccdb52664d
A332,yes,120200,182000,230000,openap/data/aircraft/a332.yml,5809562cb23c456c4b3113f110e112c48ebed6344d2bee78253efeb8dccce5cd
A359,yes,142400,205000,280000,openap/data/aircraft/a359.yml,db5118cc006c0a99d61b63f38e132ee9edb03bd5abb122dffc832b9b7d9323fd
B734,yes,33700,56200,68000,openap/data/aircraft/b734.yml,73cf840620e57f9b137fb64d8337480d60852b58d7f8a705623fc3322d0fa3ee
B762,no,,,,,
E145,yes,12110,19300,22000,openap/data/aircraft/e145.yml,1ca4dda8ffef54aed783ed24790d28f5f921813fe98d88a905f69c4b542bac7a
A343,yes,130000,190000,276000,openap/data/aircraft/a343.yml,6d56e76e2823e762f9f5b1d6b5c012f6d80f12786958cc231b863b5866f4e2b3
B77W,yes,167800,251300,351500,openap/data/aircraft/b77w.yml,677a6d6cc848e2497eecb531a7d922e5a59ab6582e9af0e420dac1855dfd2807
B735,no,,,,,
